物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
日神デュオステージ両国,東京都墨田区本所１,"築15年
10階建","築15年
10階建",15,10.3,2K,30.27,0.3402708952758507,都営大江戸線/蔵前駅 歩12分,12.0,東京メトロ銀座線/浅草駅 歩16分,16.0,ＪＲ総武線/両国駅 歩6分,6.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,蔵前,0,https://suumo.jp/chintai/jnc_000085874709/?bc=100349749012,アエラス綾瀬店 (株)アエラス.PR
コンフォリア・リヴ根岸二丁目,東京都台東区根岸２,"築2年
13階建","築2年
13階建",2,10.8,2K,25.11,0.4301075268817205,ＪＲ山手線/鶯谷駅 歩3分,3.0,ＪＲ京浜東北線/日暮里駅 歩9分,9.0,東京メトロ日比谷線/入谷駅 歩10分,10.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,鶯谷,0,https://suumo.jp/chintai/jnc_000077249866/?bc=100349099175,(株)Vision秋葉原店
東京メトロ半蔵門線 押上駅 7階建 築4年,東京都墨田区業平４,"築4年
7階建","築4年
7階建",4,12.2,2K,32.82,0.3717245581962218,東京メトロ半蔵門線/押上駅 歩4分,4.0,都営浅草線/押上駅 歩4分,4.0,東武伊勢崎線/とうきょうスカイツリー駅 歩14分,14.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,押上,0,https://suumo.jp/chintai/jnc_000085791701/?bc=100348931341,いい部屋ネット大東建託リーシング(株)池袋東口店
アイル押上ノルド　ドゥーエ,東京都墨田区東向島２,"築2年
9階建","築2年
9階建",2,12.2,2K,32.44,0.376078914919852,東武伊勢崎線/曳舟駅 歩3分,3.0,京成押上線/京成曳舟駅 歩7分,7.0,東京メトロ半蔵門線/押上駅 歩8分,8.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,曳舟,0,https://suumo.jp/chintai/jnc_000085670614/?bc=100348059609,YELL HOME (株)エスプリ
ＪＲ総武線 小岩駅 2階建 築35年,東京都葛飾区細田５,"築35年
2階建","築35年
2階建",35,6.5,2K,32.18,0.201988812927284,ＪＲ総武線/小岩駅 歩13分,13.0,京成本線/京成小岩駅 歩11分,11.0,北総線/新柴又駅 歩20分,20.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085848528/?bc=100349787496,(株)ハウスパートナー押上店
フラットフォー,東京都江戸川区東小松川３,"築19年
4階建","築19年
4階建",19,7.9,2K,35.91,0.2199944305207463,都営新宿線/船堀駅 歩16分,16.0,ＪＲ総武線/新小岩駅 バス17分 (バス停)東小松川小学校前 歩5分,17.0,東京メトロ東西線/葛西駅 バス20分 (バス停)東小松川小学校前 歩5分,20.0,,0,,0,,0,,0,,0,16.0,0,1,1,0,船堀,1,https://suumo.jp/chintai/jnc_000085885065/?bc=100349590262,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ総武線 小岩駅 7階建 築44年,東京都江戸川区西小岩１,"築44年
7階建","築44年
7階建",44,7.2,2K,28.0,0.2571428571428572,ＪＲ総武線/小岩駅 歩5分,5.0,京成本線/京成小岩駅 歩18分,18.0,京成本線/江戸川駅 歩23分,23.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,小岩,1,https://suumo.jp/chintai/jnc_000085440114/?bc=100349786739,アエラス西葛西店 (株)アエラス
山一西亀有ビル,東京都葛飾区西亀有１,"築50年
3階建","築50年
3階建",50,5.8,1K,25.4,0.2283464566929134,ＪＲ常磐線/亀有駅 歩18分,18.0,京成本線/お花茶屋駅 歩17分,17.0,,0.0,,0,,0,,0,,0,,0,17.0,1,1,1,1,亀有,0,https://suumo.jp/chintai/jnc_000013543890/?bc=100349848813,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ総武線 小岩駅 2階建 築46年,東京都江戸川区西小岩２,"築46年
2階建","築46年
2階建",46,6.0,2K,25.68,0.2336448598130841,ＪＲ総武線/小岩駅 歩11分,11.0,京成本線/京成小岩駅 歩22分,22.0,京成本線/江戸川駅 歩28分,28.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085848632/?bc=100349787156,ハウスコム東東京(株)亀有店
ＪＲ総武線 小岩駅 2階建 築46年,東京都江戸川区西小岩２,"築46年
2階建","築46年
2階建",46,6.0,2K,25.68,0.2336448598130841,ＪＲ総武線/小岩駅 歩11分,11.0,京成本線/京成小岩駅 歩22分,22.0,京成本線/江戸川駅 歩28分,28.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085871288/?bc=100349787155,大和エステート(株)D-ROOMセンター
